"","Date","true_return","returnhat"
"2020-04-01",1,-1.28440415816869,-0.37660493715053
"2020-04-02",2,0.0751505175896636,-0.195904129234173
"2020-04-03",3,-0.157022121669398,1.17355915751215
"2020-04-06",4,2.80387565842184,0.350590517500833
"2020-04-07",5,0.877798081991079,-0.183584011387951
"2020-04-08",6,-0.096309636086011,-0.42633467330236
"2020-04-09",7,0.818721517739293,0.204842176884708
"2020-04-13",8,0.818721517739293,0.423771827334214
"2020-04-14",9,0.444009714877598,-0.373688470745075
"2020-04-15",10,-2.27404225880465,0.344612950757934
"2020-04-16",11,0.259351423467276,0.311564429698037
"2020-04-17",12,2.3137777515115,0.522666214041581
"2020-04-20",13,0.18106379747874,0.2698243944057
"2020-04-21",14,-1.8683519959249,-0.410347003370827
"2020-04-22",15,0.536275762491973,0.13017658851079
"2020-04-23",16,0.336457607467696,-0.299030812823483
"2020-04-24",17,-1.26845751623369,-0.662185792436615
"2020-04-27",18,1.55077710650172,-0.60540150676923
"2020-04-28",19,0.471229819479551,0.280065375545773
"2020-04-29",20,1.08098624327012,0.0356097454416376
"2020-04-30",21,-1.01364645323245,-0.0115598131076476
"2020-05-04",22,-1.54507345320141,0.180208201400087
"2020-05-05",23,1.20058900272476,0.0806399294357517
"2020-05-06",24,-0.513710188592754,0.261677735124238
"2020-05-07",25,0.639782792296943,-0.462828087909145
"2020-05-08",26,0.601887275200196,0.652352874162116
"2020-05-11",27,-0.285684338644884,0.0484692987481228
"2020-05-12",28,-0.0402612852927926,-0.0778507558761157
"2020-05-13",29,-1.13768841502307,-0.0212696785971826
"2020-05-14",30,-1.01416873526596,0.0451204961733864
"2020-05-15",31,0.521305790186415,-0.156110435161831
"2020-05-18",32,2.88915831948289,-0.374325468372339
"2020-05-19",33,0.0423650895137522,0.0018367216463142
"2020-05-20",34,0.756586462886983,0.00690680177161321
"2020-05-21",35,-0.664639724034711,0.176803868550344
"2020-05-22",36,0.0136367266630417,0.156706859587892
"2020-05-25",37,1.4475790111675,0.131025214436792
"2020-05-26",38,0.494536561598361,0.0815842250228766
"2020-05-27",39,0.158518303296267,-0.244800058471765
"2020-05-28",40,0.574132943045203,-0.0631337711821456
"2020-05-29",41,-1.01148851809011,0.392938423513251
"2020-06-01",42,-1.01148851809011,0.274267187346935
"2020-06-02",43,0.714372559939368,0.136113045826683
"2020-06-03",44,1.25659179807756,-0.135180531874769
"2020-06-04",45,-0.188550317412373,-0.249098271568088
"2020-06-05",46,0.583278326495221,0.0502454567582714
"2020-06-08",47,-0.107510623896102,-0.0201089137850443
"2020-06-09",48,-0.907619518756243,0.0969349884010687
"2020-06-10",49,-0.34155658913738,-0.0486746100891499
"2020-06-11",50,-2.04053314127105,-0.0517031552426299
"2020-06-12",51,-0.040281369377235,-0.0314053031723028
"2020-06-15",52,-0.0702828851372193,0.0968760590933194
"2020-06-16",53,0.491792527263622,-0.476864136751413
"2020-06-17",54,0.175657021830581,-0.709484669362062
"2020-06-18",55,-0.326425700030794,-0.184707942533546
"2020-06-19",56,0.164646743867875,-0.189152491397713
"2020-06-22",57,-0.342961129525141,0.59754312983829
"2020-06-23",58,1.01147445013781,-0.234570761320339
"2020-06-24",59,-1.59289334276538,0.0337936066284702
"2020-06-25",60,0.0785178867241646,-0.268935082044911
"2020-06-26",61,-0.124025124764795,-0.111445598295793
"2020-06-29",62,0.156393522698092,0.0469178899834363
"2020-06-30",63,0.154323351990079,-0.35420418287342
"2020-07-01",64,-0.0853373760562177,-0.348098915405237
"2020-07-02",65,0.34146827213617,-0.206180328248435
"2020-07-03",66,-0.0988914916903288,-0.0130729822949599
"2020-07-06",67,0.134000934090023,0.097914565836522
"2020-07-07",68,-0.450546839632869,-0.00512855322896856
"2020-07-08",69,-0.505770806233496,0.164842764062839
"2020-07-09",70,-0.0532073193691127,-0.106165040922815
"2020-07-10",71,1.03160628173343,-0.118343079499646
"2020-07-13",72,0.684310552581503,-0.317462324356555
"2020-07-14",73,-0.543695124790297,-0.316567034963838
"2020-07-15",74,0.319719436116229,-0.151229378345548
"2020-07-16",75,-0.383806425296403,-0.0399747921976228
"2020-07-17",76,0.241129563138406,-0.12936882066364
"2020-07-20",77,0.212120098095359,-0.0338141596220671
"2020-07-21",78,0.749186397301129,0.0770817695077888
"2020-07-22",79,-0.490204988701403,-0.0658305928560166
"2020-07-23",80,-0.0251791846129303,-0.113233931033988
"2020-07-24",81,-0.411699230723486,-0.0390057900425059
"2020-07-27",82,-0.0156097587490823,0.0920834283033318
"2020-07-28",83,-0.0255459588366554,-0.072515576300712
"2020-07-29",84,-0.0854998926945028,-0.209827175866285
"2020-07-30",85,-2.68431837232055,-0.0656401783125175
"2020-07-31",86,-0.38460102175081,-0.0646249427047965
"2020-08-03",87,0.479778237951668,-0.155660976745468
"2020-08-04",88,-0.202560128259903,-0.0658333075859354
"2020-08-05",89,0.0604639092130075,-0.418354379976755
"2020-08-06",90,-0.122557215592356,-0.170941835161726
"2020-08-07",91,0.1123068749348,0.12489254755079
"2020-08-10",92,-0.000914264543822586,0.0554572021484794
"2020-08-11",93,0.425287105100071,0.0281932663567723
"2020-08-12",94,0.107189165663257,-0.0914039297017165
"2020-08-13",95,-0.114223851544118,-0.0583675684897902
"2020-08-14",96,-0.169516226627927,0.1352652706349
"2020-08-17",97,0.0178332190711516,-0.115394185959343
"2020-08-18",98,-0.0704753522060302,-0.122191442779138
"2020-08-19",99,0.217022068859421,-0.0361328101555009
"2020-08-20",100,-0.191589579360928,-0.152119146457119
