"","Date","true_return","returnhat"
"2019-04-01",1,1.34738205704213,0.00671533660764104
"2019-04-02",2,0.60951781919482,-0.0339547646088028
"2019-04-03",3,1.71393305027745,-0.0360769192946612
"2019-04-04",4,0.268171073706766,-0.0301843281169277
"2019-04-05",5,0.166197259014336,-0.0270948123024293
"2019-04-08",6,-0.416156337526166,-0.0337006956730996
"2019-04-09",7,-0.992538488565954,-0.0354850565705415
"2019-04-10",8,0.459693628929675,-0.0384997357510998
"2019-04-11",9,0.233111489491289,-0.0355718261596066
"2019-04-12",10,0.536427608830361,-0.0360932356060836
"2019-04-15",11,0.155749547566797,-0.0329065557236791
"2019-04-16",12,0.675011686480656,-0.0252653365791158
"2019-04-17",13,0.421244626683277,-0.0267989244253024
"2019-04-18",14,0.56763464007641,-0.0291932911622221
"2019-04-22",15,0.56763464007641,-0.02847513861461
"2019-04-23",16,0.091344643919842,-0.0344911178680636
"2019-04-24",17,0.633430169404662,-0.0322833549244913
"2019-04-25",18,-0.276038222449946,-0.0352617078053354
"2019-04-26",19,0.254411257554507,-0.0404375442885662
"2019-04-29",20,0.0884075391167876,-0.0378796123372243
"2019-04-30",21,0.115343372162716,-0.0387789009454641
"2019-05-02",22,-0.00807486090868874,-0.0417310354711813
"2019-05-03",23,0.547017241877141,-0.0407615277989161
"2019-05-06",24,-1.08307709860444,-0.0373457938626218
"2019-05-07",25,-1.68138893562041,-0.0412419566572588
"2019-05-08",26,0.725904038935326,-0.0494664411065655
"2019-05-09",27,-1.78614252513745,-0.0535271642456935
"2019-05-10",28,0.718385352503855,-0.0590886915899442
"2019-05-13",29,-1.59773370154219,-0.0546321074236296
"2019-05-14",30,0.969304457281472,-0.0656975452272041
"2019-05-15",31,0.898341565083112,-0.0519069207799605
"2019-05-16",32,1.74571006582664,-0.0438860070165497
"2019-05-17",33,-0.610848421610115,-0.0402376979134728
"2019-05-20",34,-1.67160479120747,-0.0393181631285734
"2019-05-21",35,0.833675722733517,-0.0361268806825972
"2019-05-22",36,0.191345859139548,-0.0365338710003359
"2019-05-23",37,-1.83812002109188,-0.0274057309689686
"2019-05-24",38,0.471261890885683,-0.0405807911844821
"2019-05-27",39,0.483679606857779,-0.0407016674413145
"2019-05-28",40,-0.387851627125509,-0.0393956400941438
"2019-05-29",41,-1.61709922275871,-0.0425636442483176
"2019-05-30",42,0.523250158526408,-0.0480140215010245
"2019-05-31",43,-1.50781425829763,-0.0437621438768309
"2019-06-03",44,0.543783227491949,-0.0530390673329729
"2019-06-04",45,1.48668258679534,-0.050759414845031
"2019-06-05",46,0.0606270732739513,-0.0472469671619046
"2019-06-06",47,-0.249101191649651,-0.056943584295959
"2019-06-07",48,0.744582342720038,-0.0536918937494756
"2019-06-10",49,0.744582342720038,-0.0432136680444744
"2019-06-11",50,0.887089129907744,-0.0340177576035293
"2019-06-12",51,-0.347171209157776,-0.0310738558016898
"2019-06-13",52,0.416449254859187,-0.0245039037059665
"2019-06-14",53,-0.619379186913155,-0.0247636439109794
"2019-06-17",54,-0.107047470526305,-0.0171443878111916
"2019-06-18",55,2.00769137002557,-0.0161827448668611
"2019-06-19",56,-0.207010887161004,-0.0115526529413132
"2019-06-20",57,0.358988669575649,-0.00534296402606174
"2019-06-21",58,-0.144626058139333,-0.00876468068886418
"2019-06-24",59,-0.550625731977648,-0.00711490817296445
"2019-06-25",60,-0.401080068262767,-0.0132762646851788
"2019-06-26",61,0.120479338700911,-0.0137803551828544
"2019-06-27",62,0.193666005431792,-0.0185449658660573
"2019-06-28",63,1.03728617266875,-0.0188662973628394
"2019-07-01",64,0.984262111901896,-0.0167354244975799
"2019-07-02",65,0.0240798039209985,-0.0158770883265143
"2019-07-03",66,0.707353223098539,-0.00756796552500348
"2019-07-04",67,0.0909760779482403,-0.00760578113606885
"2019-07-05",68,-0.517524134777172,-0.0091284865963281
"2019-07-08",69,-0.223071181969305,-0.0119986107486113
"2019-07-09",70,-0.895045423044983,-0.0173196550678344
"2019-07-10",71,-0.539286593397363,-0.0256431380069507
"2019-07-11",72,-0.362462590975654,-0.0239833311809384
"2019-07-12",73,-0.0926700179546394,-0.0192974325493612
"2019-07-15",74,0.513033464432779,-0.0190940165150373
"2019-07-16",75,0.341692193178195,-0.02203440285856
"2019-07-17",76,-0.765906663589968,-0.0168002604644509
"2019-07-18",77,-0.96698852295802,-0.0281187018594511
"2019-07-19",78,0.251032373497967,-0.0335100101198261
"2019-07-22",79,0.226660985496432,-0.0300502009257592
"2019-07-23",80,1.65354394405292,-0.0293564990270921
"2019-07-24",81,0.244410552934361,-0.01940627045302
"2019-07-25",82,-1.34746088949378,-0.00939530446578716
"2019-07-26",83,0.461915417095409,-0.0175358553618162
"2019-07-29",84,-0.0395425596213913,-0.0148093889566008
"2019-07-30",85,-2.29022044715235,-0.0172994987990523
"2019-07-31",86,0.331300274264792,-0.0256364947646467
"2019-08-01",87,0.516296627351634,-0.026221880424381
"2019-08-02",88,-3.25671743126364,-0.0119170931720768
"2019-08-05",89,-1.8445214608608,-0.0225787054479499
"2019-08-06",90,-0.796509752339244,-0.0298851709766257
"2019-08-07",91,0.685738738814689,-0.0238972935110059
"2019-08-08",92,1.63402025398742,-0.0239734298995099
"2019-08-09",93,-1.29318047576256,-0.0161758165304905
"2019-08-12",94,-0.139432019106979,-0.0263234092836223
"2019-08-13",95,0.578650574591754,-0.0292896680312724
"2019-08-14",96,-2.22064684841813,-0.0268991526930335
"2019-08-15",97,-0.709808940086667,-0.0349131365950419
"2019-08-16",98,1.27193624335074,-0.0387106052642231
"2019-08-19",99,1.27207258660107,-0.0337182382740472
"2019-08-20",100,-0.559533322269773,-0.0281180297313337
"2019-08-21",101,1.25205217578284,-0.0303364309933188
"2019-08-22",102,-0.483573318987822,-0.0250482628838004
"2019-08-23",103,-1.15548552067433,-0.0205859424024237
"2019-08-26",104,0.371183603934487,-0.0251245334337919
"2019-08-27",105,0.583257874433789,-0.0233826474638694
"2019-08-28",106,-0.261483685745542,-0.0205669239977696
"2019-08-29",107,1.12648463293185,-0.0213789578101362
"2019-08-30",108,0.804742674938132,-0.0168000189069326
"2019-09-02",109,0.0991707706645138,-0.0150215556395147
"2019-09-03",110,-0.370596238922041,-0.0145153007423259
"2019-09-04",111,0.914412532081876,-0.0161935682083832
"2019-09-05",112,0.807030835985046,-0.0137142930373444
"2019-09-06",113,0.504367675445715,-0.0106390478003751
"2019-09-09",114,0.256490677345806,-0.00728484011896258
"2019-09-10",115,0.321538483217763,-0.00946984402981215
"2019-09-11",116,0.699503091592291,-0.011121077345458
"2019-09-12",117,0.385248270073442,-0.0132258581623831
"2019-09-13",118,0.439230523903993,-0.015848511940657
"2019-09-16",119,-0.714510621890945,-0.013623865524732
"2019-09-17",120,-0.080195850843908,-0.0175289403593069
"2019-09-18",121,0.115087077612059,-0.018362018421107
"2019-09-19",122,0.517147455171397,-0.0203510566686835
"2019-09-20",123,0.0617152021655456,-0.00941895077946798
"2019-09-23",124,-1.01368706970511,-0.00938268356158459
"2019-09-24",125,-0.299134735261806,-0.013049277391765
"2019-09-25",126,-0.602190793480518,-0.0138576618841722
"2019-09-26",127,0.414856564708867,-0.0142864270942386
"2019-09-27",128,0.714259909529331,-0.00636703525342477
"2019-09-30",129,0.354212678378503,0.00214028058517387
"2019-10-01",130,-1.32832617607638,0.00243872578282835
"2019-10-02",131,-2.76453400053566,0.00929069143943485
"2019-10-03",132,-2.76453400053566,0.00491361802987897
"2019-10-04",133,0.686584999670001,-0.00558096720123018
"2019-10-07",134,0.658874615924594,-0.00620152515627122
"2019-10-08",135,-1.04382469079466,-0.00958266560754306
"2019-10-09",136,0.977543345415824,-0.0113917808508813
"2019-10-10",137,0.542779534116652,-0.00269007886627705
"2019-10-11",138,2.73744726273716,0.000887715828869457
"2019-10-14",139,-0.212714840509497,0.0130258211084629
"2019-10-15",140,1.08041859986804,0.0217876837736305
"2019-10-16",141,0.288377708781683,0.0293511171080915
"2019-10-17",142,-0.134994194970376,0.0261577130014916
"2019-10-18",143,-0.182858804346938,0.0297483638539827
"2019-10-21",144,0.853371349672319,0.023973424343968
"2019-10-22",145,0.0316968328821787,0.0292923033032463
"2019-10-23",146,0.313387591314041,0.0234450698051017
"2019-10-24",147,0.544044047384638,0.0239897496531662
"2019-10-25",148,0.151079950738258,0.0243629182335739
"2019-10-28",149,0.339393124634526,0.0259390906307136
"2019-10-29",150,-0.0352490727799175,0.027769836022236
"2019-10-30",151,-0.243292093110242,0.0241695712563642
"2019-10-31",152,-0.352547611018981,0.0251993530495388
"2019-11-01",153,0.702016309620843,0.0237979893229742
"2019-11-04",154,1.30695754769004,0.0343454228616499
"2019-11-05",155,0.0721627606472893,0.0341599585112069
"2019-11-06",156,0.215349027396311,0.0367389270326222
"2019-11-07",157,0.79651813347307,0.0398711576986519
"2019-11-08",158,-0.471653444247855,0.0436086625619778
"2019-11-11",159,-0.244212169955509,0.0454305393874483
"2019-11-12",160,0.617989147555666,0.0513327216450711
"2019-11-13",161,-0.419924459630338,0.0471339155896068
"2019-11-14",162,-0.394504127747785,0.0495039329965084
"2019-11-15",163,0.443652798012452,0.0459622059858024
"2019-11-18",164,-0.280470870967213,0.0417631828488984
"2019-11-19",165,0.0869587243884795,0.0424071559449191
"2019-11-20",166,-0.497641016083991,0.0432122318325715
"2019-11-21",167,-0.175770578716166,0.0413232634524488
"2019-11-22",168,0.181385449709557,0.0422376887560915
"2019-11-25",169,0.611389550148481,0.0352741554200989
"2019-11-26",170,-0.0960321377990709,0.0425959391155392
"2019-11-27",171,0.367442376502263,0.0473162167997643
"2019-11-28",172,-0.336029768454351,0.0636609714791463
"2019-11-29",173,-0.089685938794372,0.0632522508002821
"2019-12-02",174,-3.20007397422807,0.0692569402041418
"2019-12-03",175,0.172089804017846,0.0505497218557532
"2019-12-04",176,1.15323780175092,0.0457887402683347
"2019-12-05",177,-0.683063767891404,0.050653095539179
"2019-12-06",178,0.873926773910982,0.0501875137647057
"2019-12-09",179,-0.503041749632418,0.0572587159088058
"2019-12-10",180,-0.298748381667334,0.0565038024757886
"2019-12-11",181,0.591171169539924,0.0544316341355409
"2019-12-12",182,0.580816899229668,0.0627551088018812
"2019-12-13",183,0.467297347423859,0.0642927186615825
"2019-12-16",184,0.969741555548307,0.0653762503140604
"2019-12-17",185,-0.968212769513939,0.0684695587990362
"2019-12-18",186,-0.541927647979842,0.0743654668114754
"2019-12-19",187,-0.100691882172603,0.0655043347879459
"2019-12-20",188,0.839316885095967,0.0584081458276453
"2019-12-23",189,-0.162631637983595,0.0610456346069485
"2019-12-24",190,-0.162631637983595,0.0666604810941799
"2019-12-26",191,-0.162631637983595,0.052945532107012
"2019-12-27",192,0.273830917605333,0.0530934300689396
"2019-12-30",193,-0.736606069701949,0.0522315915319013
"2019-12-31",194,-0.736606069701949,0.0461482244762575
"2020-01-02",195,1.09639369928153,0.0422675364266756
"2020-01-03",196,-1.38684328197403,0.0479511081356118
"2020-01-06",197,-0.800191363242023,0.0436130919448042
"2020-01-07",198,0.825401395595671,0.0392027475228157
"2020-01-08",199,0.764567189258079,0.0411722329770353
"2020-01-09",200,1.43535278607092,0.0447581691346822
"2020-01-10",201,-0.116063648798807,0.040459196217184
"2020-01-13",202,-0.28152211203786,0.0424759996507184
"2020-01-14",203,0.0216908523389587,0.0430400055799168
"2020-01-15",204,-0.219259604386301,0.0438536576816582
"2020-01-16",205,-0.043107678679366,0.0410011645606515
"2020-01-17",206,0.778377501306553,0.035676470531831
"2020-01-20",207,0.170962293571293,0.0413155426117211
"2020-01-21",208,0.0384845866125021,0.0417843941582601
"2020-01-22",209,-0.354801892965364,0.0432947908542984
"2020-01-23",210,-1.09024366580278,0.0422481838522044
"2020-01-24",211,1.55638546334153,0.0377033816607571
"2020-01-27",212,-3.15362668870485,0.0441483442059291
"2020-01-28",213,0.966387767427208,0.0249541388855354
"2020-01-29",214,0.156033069028919,0.0303870232430611
"2020-01-30",215,-1.57604591557989,0.0417150172324518
"2020-01-31",216,-1.48226197333653,0.0396029128086753
"2020-02-03",217,0.508234633723079,0.0299170877612274
"2020-02-04",218,1.9313979136254,0.0280937678452165
"2020-02-05",219,1.57422612434261,0.0344565610112849
"2020-02-06",220,0.750803189025707,0.043556086336533
"2020-02-07",221,-0.49378911116382,0.0392987231933518
"2020-02-10",222,-0.181679642540719,0.0374215811437284
"2020-02-11",223,1.07647056485665,0.0364282909975008
"2020-02-12",224,0.965821687376245,0.0376330378799622
"2020-02-13",225,-0.0542968001258065,0.0408480016354455
"2020-02-14",226,-0.0291668582397468,0.0395394755803916
"2020-02-17",227,0.398289615606627,0.0378870576365655
"2020-02-18",228,-1.13863977854332,0.0383650037832196
"2020-02-19",229,1.3874501188788,0.0356895396088495
"2020-02-20",230,-1.19071737558741,0.0403616664555792
"2020-02-21",231,-0.709771994406108,0.0327547923355025
"2020-02-24",232,-4.5562013116906,0.0302995260182152
"2020-02-25",233,-2.03123535372548,0.0111944528572799
"2020-02-26",234,-0.147801604370086,0.00427648365873547
"2020-02-27",235,-3.43040928018471,0.00616977406865304
"2020-02-28",236,-3.11464510013317,-0.0053931869329372
"2020-03-02",237,-0.144859017822646,-0.0207418256512435
"2020-03-03",238,0.411583761733494,-0.020579678532754
