"","Date","true_return","returnhat"
"2020-04-01",1,-0.986763488747008,-0.0749935919350739
"2020-04-02",2,0.35359615287185,0.995571591962062
"2020-04-03",3,-0.163041901698976,-0.243294232722237
"2020-04-06",4,0.322572048796854,-0.242976472248097
"2020-04-07",5,0.327534718750208,0.374755297043933
"2020-04-08",6,-0.27233546805542,-0.217097910029831
"2020-04-09",7,0.382722440011137,-0.057791526420683
"2020-04-13",8,0.382722440011137,-0.421150823482756
"2020-04-14",9,2.93378922610056,-0.168207814955984
"2020-04-15",10,-0.483562183940377,-0.213422539364878
"2020-04-16",11,-0.0347155016996641,-0.203341441659368
"2020-04-17",12,0.925828233383734,-0.0830709369442271
"2020-04-20",13,-0.122867571724613,-0.21276258155325
"2020-04-21",14,-0.615322900242059,-0.0160715440403676
"2020-04-22",15,0.211150458390181,-0.0983794731958399
"2020-04-23",16,1.90498782927149,-0.971458625598443
"2020-04-24",17,-0.0473446072760292,-0.118130410874616
"2020-04-27",18,-0.0473446072760292,0.443420193662735
"2020-04-28",19,0.156820501914568,-0.246156674769444
"2020-04-29",20,0.372442939477377,-0.0240695476713258
"2020-04-30",21,-0.299370472577691,-0.147088799747719
"2020-05-04",22,-0.461417505593759,-0.332779026775044
"2020-05-05",23,-0.0488668721486006,-0.124148227224089
"2020-05-06",24,1.53055398474899,-0.504662780583906
"2020-05-07",25,0.0355369595375687,0.380824202773449
"2020-05-08",26,1.55085395967283,-0.0963930924164152
"2020-05-11",27,-0.42967253610484,-0.077512933562578
"2020-05-12",28,0.321403673065728,-0.0669001986066868
"2020-05-13",29,-0.081791347685122,-0.0596871451738549
"2020-05-14",30,-1.62292052193342,-0.192170042232652
"2020-05-15",31,0.183987733636786,-0.0909825862859728
"2020-05-18",32,2.45583486598432,0.0104625568840894
"2020-05-19",33,0.734642534289581,0.448504352029572
"2020-05-20",34,0.357034668669085,-0.0483006833195621
"2020-05-21",35,-0.387663116347226,-0.239387777055376
"2020-05-22",36,-0.365834217259629,-0.240555250954828
"2020-05-25",37,-0.066724608076659,-0.137053300408285
"2020-05-26",38,0.782911003890288,-0.0953826319835599
"2020-05-27",39,-0.37222372529477,0.1577746607308
"2020-05-28",40,0.335594136592486,-0.0719027410036393
"2020-05-29",41,-0.435256156419127,-0.356696727284966
"2020-06-01",42,0.777883365502537,-0.170615711807052
"2020-06-02",43,0.556665590788924,-0.106872990952177
"2020-06-03",44,1.98448652594294,-0.0572971984456644
"2020-06-04",45,-0.239864688225252,0.0443236634021618
"2020-06-05",46,0.615891712163172,-0.0725942973189612
"2020-06-08",47,-0.257413695477917,-0.292027001914089
"2020-06-09",48,-0.116524180495429,-0.339311955308193
"2020-06-10",49,-1.92114038514339,0.0100565449061861
"2020-06-11",50,-0.636301612003241,-0.559242500961146
"2020-06-12",51,0.115692366449726,-0.266533088333493
"2020-06-15",52,-2.97461065052078,0.148486875291731
"2020-06-16",53,-2.97461065052078,0.132670715350764
"2020-06-17",54,3.98004857831726,0.111266387941697
"2020-06-18",55,-0.0577893820634116,-0.369187525472533
"2020-06-19",56,0.4774098562144,-0.239312791918926
"2020-06-22",57,0.12812702688255,-0.369332745291559
"2020-06-23",58,2.77142187280885,0.0730440734042883
"2020-06-24",59,-2.31734130479648,-0.064697995181391
"2020-06-25",60,-1.20511069504538,-0.0487263351855171
"2020-06-26",61,-0.643190963842602,-0.128126514790134
"2020-06-29",62,1.14109003599309,-0.119169483612043
"2020-06-30",63,0.111070835402131,0.278262314506415
"2020-07-01",64,-1.40648443068639,-0.306873602319084
"2020-07-02",65,1.91146686995353,0.447351636142273
"2020-07-03",66,-0.436538848827038,-0.399123104362059
"2020-07-06",67,0.819376944567147,-0.257213115910345
"2020-07-07",68,0.141820274680419,-0.255988744555962
"2020-07-08",69,1.82324717648726,-0.222052726760545
"2020-07-09",70,-0.0790285563400444,-0.016544541995951
"2020-07-10",71,-0.684488561063487,-0.171071185862311
"2020-07-13",72,1.3959768630479,0.0908896293792411
"2020-07-14",73,-1.69225179391282,-0.0882192510810568
"2020-07-15",74,1.11071387782957,0.0644531206415207
"2020-07-16",75,-0.620318901191837,-0.0951362746896814
"2020-07-17",76,0.316486787614097,0.064148240788252
"2020-07-20",77,0.738569381185039,-0.614155959166905
"2020-07-21",78,0.278261327552964,-0.324629711726898
"2020-07-22",79,-1.50375800234418,0.0372504506697208
"2020-07-23",80,0.763526408639458,-0.22143658432214
"2020-07-24",81,-0.726415520246944,-0.156092283597932
"2020-07-27",82,1.80368852880882,0.041190291243597
"2020-07-28",83,0.0366001422649187,-0.0274844601146504
"2020-07-29",84,0.413496598693576,0.117232479981145
"2020-07-30",85,-2.43890100073317,0.00993846832986298
"2020-07-31",86,-0.26994769331253,-0.168412266167738
"2020-08-03",87,0.544646521951219,0.0141133731331949
"2020-08-04",88,1.06647013337007,-0.227641268177159
"2020-08-05",89,4.4077905095007,-0.00705699169718789
"2020-08-06",90,0.284365501164951,0.160388652490662
"2020-08-07",91,-3.00044980644204,0.161477827220149
"2020-08-10",92,-3.00044980644204,-0.177808355326559
"2020-08-11",93,0.484206593792729,-0.1502561367797
"2020-08-12",94,0.428502503063891,-0.0826327022906095
"2020-08-13",95,-0.0870633345994813,0.0197764398964848
"2020-08-14",96,-0.517546393256013,-0.0637220071589916
"2020-08-17",97,0.719032714621735,0.130322207761249
"2020-08-18",98,-0.534852838205395,-0.0907571050512917
"2020-08-19",99,-1.15847030405756,0.0519918133988191
"2020-08-20",100,-1.21682201617732,0.00408840241898945
