"","Date","true_return","returnhat"
"2018-04-02",1,2.08944586303197,0.0782575010483031
"2018-04-03",2,-1.50449426178961,-0.155060642797319
"2018-04-04",3,-0.312782218360483,0.0448350266452467
"2018-04-05",4,2.34042727242423,0.0395353983078258
"2018-04-06",5,0.0683100828948609,0.108095761745287
"2018-04-09",6,0.606488607206629,-0.481944434701798
"2018-04-10",7,0.0396199163000338,-0.00238055517404753
"2018-04-11",8,-1.37370096668822,0.0822106748035323
"2018-04-12",9,0.892788830513079,-0.0520575532429715
"2018-04-13",10,0.185731150151236,0.054234485164242
"2018-04-16",11,0.653013870856282,-0.0372326433630045
"2018-04-17",12,0.149724412843354,-0.0099365384370841
"2018-04-18",13,2.50207577447169,-0.0112376626549625
"2018-04-19",14,-0.817524779064085,0.00750177704550048
"2018-04-20",15,0.0755422162073995,-0.042166826543547
"2018-04-23",16,0.21582994534528,-0.150409065917546
"2018-04-24",17,-0.0392615667050446,-0.00394366214873074
"2018-04-25",18,-1.51245499047498,-0.626588744177347
"2018-04-26",19,1.04890408758971,0.0127805639754081
"2018-04-27",20,1.04890408758971,0.140278724861909
"2018-04-30",21,1.73734397132966,0.0372758167533023
"2018-05-02",22,0.325503476570011,-0.317347278258675
"2018-05-03",23,-4.01535816301613,-0.207885472594916
"2018-05-04",24,1.29687870125582,-0.0732461907831497
"2018-05-07",25,0.759240592671323,0.167212416037482
"2018-05-08",26,-0.32162167538621,0.00539019050598564
"2018-05-09",27,0.000559776458045236,-0.0120433674689123
"2018-05-10",28,-0.0035483241325061,0.113403236360191
"2018-05-11",29,0.757339083264709,0.0990987484065557
"2018-05-14",30,0.353343452657234,0.00979838947378141
"2018-05-15",31,-1.53213191588076,-0.000740335169492201
"2018-05-16",32,0.0502536435590834,-0.118759139134927
"2018-05-17",33,-0.95753820002641,0.0471393549898355
"2018-05-18",34,-0.943924011047971,-0.0270209272534386
"2018-05-21",35,0.0190800828618082,-0.167008560886341
"2018-05-22",36,0.593851821077134,0.461791127366143
"2018-05-23",37,-0.0723546679891516,-0.0753596107080455
"2018-05-24",38,-0.562512800811957,0.159895458957903
"2018-05-25",39,0.387727170803796,-0.0372254152409841
"2018-05-28",40,-0.00815685368841291,-0.043538655366756
"2018-05-29",41,-1.98961556299649,-0.0368523756258715
"2018-05-30",42,-0.74403853684636,-0.21849856258275
"2018-05-31",43,1.03539057797368,0.874404740981034
"2018-06-01",44,2.27003898778197,-0.277337310803702
"2018-06-04",45,1.07045408094513,0.138040631154754
"2018-06-05",46,-0.00723436693800226,0.0814158825244095
"2018-06-06",47,0.63314596683703,0.03012743364886
"2018-06-07",48,0.58400362751257,0.334631970041949
"2018-06-08",49,-0.341432105140765,0.0112171943307132
"2018-06-11",50,-0.120653851824598,0.149379911946214
"2018-06-12",51,0.123353605792395,0.080204211573363
"2018-06-13",52,0.559807360612541,0.114144280358159
"2018-06-14",53,-0.0703012149561816,-0.0372652583004115
"2018-06-15",54,-1.75312838478359,0.0674974992633965
"2018-06-18",55,-0.686459755318469,-0.0384523951611339
"2018-06-19",56,-2.05622982837882,-0.126785070336355
"2018-06-20",57,0.74684550532483,-0.0708113785146477
"2018-06-21",58,-0.791585624037614,0.0360962745196797
"2018-06-22",59,1.2038057320405,-0.463266087829363
"2018-06-25",60,-1.91485722555426,0.103267005312155
"2018-06-26",61,-1.21801245826627,-0.263101831065284
"2018-06-27",62,0.375042480772165,0.0673565119702374
"2018-06-28",63,0.910337563886391,-0.135836021998264
"2018-06-29",64,3.53861679854709,0.19487814409136
"2018-07-02",65,-1.11089172462249,0.0279736086121542
"2018-07-03",66,0.594897026654398,0.108248490263397
"2018-07-04",67,0.150015440815629,-0.215020015238531
"2018-07-05",68,-0.390642834437901,-0.2170742724319
"2018-07-06",69,-0.170840409004002,0.147496040464639
"2018-07-09",70,1.72264505724775,0.439457973977136
"2018-07-10",71,-0.420581200789842,0.395721395162025
"2018-07-11",72,-1.54041645478831,0.132593936766372
"2018-07-12",73,-0.78434941169912,-0.511479511343687
"2018-07-13",74,-0.90707983013005,0.0978288389013941
"2018-07-16",75,-1.91068084410742,0.0322839577728702
"2018-07-17",76,1.34418259848068,-0.0803860595012754
"2018-07-18",77,0.330889273914583,0.204774276813014
"2018-07-19",78,0.0373635757559304,0.103812434852664
"2018-07-20",79,1.41775217584418,-0.299150808804963
"2018-07-23",80,-0.890851144708536,-0.076336270530839
"2018-07-24",81,1.00745463132959,0.0699255384083462
"2018-07-25",82,-1.38377344829488,0.29744349248291
"2018-07-26",83,0.752497851440802,0.127582498330292
"2018-07-27",84,0.834397334611111,-0.222098981400439
"2018-07-30",85,0.177488952336907,-0.436943723145368
"2018-07-31",86,0.149872856739995,-0.281328577390611
"2018-08-01",87,-0.103060246574172,0.20106845159418
"2018-08-02",88,-1.92449146579215,-0.0749398929251774
"2018-08-03",89,1.29060189363235,0.222806531083347
"2018-08-06",90,-0.439434397202381,0.246844800593038
"2018-08-07",91,1.56979696394827,0.178629209883076
"2018-08-08",92,0.0488963939479244,0.179643938777045
"2018-08-09",93,0.0488963939479244,-0.0321021259529343
"2018-08-10",94,-0.103319926369345,-0.116443213899048
"2018-08-13",95,0.457205844812736,-0.591865006298874
"2018-08-14",96,-0.560724437266906,-0.211935288172166
"2018-08-15",97,-3.80082696379523,0.384714408365463
"2018-08-16",98,1.72821453452208,-0.4599574891309
"2018-08-17",99,0.158535907181927,0.291977657322778
"2018-08-20",100,0.933027789950532,0.0996172247349251
"2018-08-21",101,0.0198574897115885,0.0870067872670063
"2018-08-22",102,1.74026400639351,0.0630259176373383
"2018-08-23",103,0.104669064424672,-0.0226655432803542
"2018-08-24",104,1.10630393248592,-0.0963462812094627
"2018-08-27",105,1.44233251340722,0.35176163689682
"2018-08-28",106,0.561199111730781,0.458022967937979
"2018-08-29",107,0.228895798288744,0.0166995397069313
"2018-08-30",108,-2.45240412269195,0.294802206599631
"2018-08-31",109,-0.358668324079111,-0.254139046184574
"2018-09-03",110,-0.0773462502544639,-0.00697145118552159
"2018-09-04",111,-1.35222530187221,-0.00800917251274828
"2018-09-05",112,-1.57995370664377,-0.106009604389156
"2018-09-06",113,0.0825328819503682,-0.178259455783429
"2018-09-07",114,-0.134959334098308,-0.21602572986963
"2018-09-10",115,-0.54765288867029,-0.144057052576371
"2018-09-11",116,-0.943311477078468,0.0927938982909436
"2018-09-12",117,-0.441933357376342,0.219776606028825
"2018-09-13",118,0.297135682079194,0.000582878500368094
"2018-09-14",119,0.79340212554882,0.308261638917178
"2018-09-17",120,-0.467234091356809,0.000131998452992326
"2018-09-18",121,0.0149451235438605,-0.373349983821623
"2018-09-19",122,0.0683961095001115,0.294362430397972
"2018-09-20",123,0.200315080592186,0.0460973319350832
"2018-09-21",124,1.03843647449985,0.401527379545568
"2018-09-24",125,1.03843647449985,-0.0378783943332263
"2018-09-25",126,-0.617370771698984,-0.205270074972707
"2018-09-26",127,-0.566372562507262,-0.0935843291076471
"2018-09-27",128,-1.05297662142827,-0.209586193037229
"2018-09-28",129,-0.543195447652251,0.100368559222391
"2018-10-01",130,0.0968666416881161,-0.0417199619487582
"2018-10-02",131,-0.625559345856525,0.180368035224944
"2018-10-03",132,-0.53040428145728,-0.0763137063005824
"2018-10-04",133,-0.183471826126976,0.00107625103333134
"2018-10-05",134,-1.24823240892155,-0.594260595505862
"2018-10-08",135,-0.432642469886381,-0.291856333294086
"2018-10-09",136,-0.160567483876682,-0.0710799306110586
"2018-10-10",137,-2.58381547150761,-0.12864312451435
"2018-10-11",138,-1.14171009563283,-1.64979819696469
"2018-10-12",139,2.32444209387719,-0.29687240855627
"2018-10-15",140,-1.90797982759192,0.0842695400709908
"2018-10-16",141,1.34219012099437,-0.129147311577935
"2018-10-17",142,-1.64769460696171,0.218072701895317
"2018-10-18",143,-0.466867924744113,-0.0694850276006826
"2018-10-19",144,-0.10509125472131,-0.250753383579108
"2018-10-22",145,0.241422301429873,-0.073103757248297
"2018-10-23",146,-2.02323686394725,-0.140693901170928
"2018-10-24",147,-0.687275954831729,-0.183630712761211
"2018-10-25",148,1.4256892205799,-0.717879036142325
"2018-10-26",149,-1.46524160612734,0.161245539685477
"2018-10-29",150,0.836867677097549,-0.215463012869974
"2018-10-30",151,-0.451141979673557,-0.143558183022784
"2018-10-31",152,3.14263967488669,0.090754786553165
"2018-11-01",153,1.95786151661218,0.0824276440958023
"2018-11-02",154,0.78381377651456,0.13950292490907
"2018-11-05",155,1.46305342862795,-0.162041081738434
"2018-11-06",156,-0.691633996625759,0.0445317836205329
"2018-11-07",157,0.288591755360691,0.118702588673641
"2018-11-08",158,-1.05019987977761,0.417820392277853
"2018-11-09",159,-1.77889261413888,-0.121573517420092
"2018-11-12",160,-1.81711477198891,-0.317826888367472
"2018-11-13",161,-0.284143368725372,-0.46555284714151
"2018-11-14",162,-0.0764139406096846,-0.106530091808255
"2018-11-15",163,0.249594548096614,-0.255998790201951
"2018-11-16",164,-0.320914549338282,0.135890115691358
"2018-11-19",165,0.756092962607389,-0.0293787011965383
"2018-11-20",166,-3.96480738025603,-0.478618611078985
"2018-11-21",167,0.906200969996123,-0.544571154305062
"2018-11-22",168,-0.444314379914714,-0.0260949223916934
"2018-11-23",169,-1.47385082306942,-0.0210678774838607
"2018-11-26",170,2.85495484758801,-0.230859539390822
"2018-11-27",171,-0.886527417227429,0.302736652469448
"2018-11-28",172,1.7311745813966,0.00363192103959466
"2018-11-29",173,-0.28410139400877,0.550536943075434
"2018-11-30",174,-2.92063367710593,-0.0891018554408766
"2018-12-03",175,3.65725995202314,0.0708797178966791
"2018-12-04",176,0.306408147645042,0.144059988865215
"2018-12-05",177,-1.69521517940584,-0.733482357250256
"2018-12-06",178,-1.12489596802779,-0.768373147737506
"2018-12-07",179,0.285613751896479,-0.0719683855604318
"2018-12-10",180,-1.36091758777852,-0.438942260806483
"2018-12-11",181,1.81926900131494,-0.0309991063816613
"2018-12-12",182,0.795076575408581,-0.0544019055730168
"2018-12-13",183,0.04521863732154,0.0371054103136036
"2018-12-14",184,-0.266112841521612,-0.0565873537456794
"2018-12-17",185,-0.266112841521612,-0.481127179804582
"2018-12-18",186,-0.818461877650031,-0.478739347828606
"2018-12-19",187,0.86862367657225,-0.0506665682900026
"2018-12-20",188,-0.603349432064793,-0.278491462929253
"2018-12-21",189,0.521704310412578,-0.351521389680555
"2018-12-24",190,2.08691131066067,-0.346164186347809
"2018-12-26",191,2.08691131066067,-0.390461133334169
"2018-12-27",192,-1.60028207924482,0.559274060201419
"2018-12-28",193,2.83222567096735,0.00873260748226375
"2018-12-31",194,0.607532946705902,-0.0429620546982414
"2019-01-02",195,-3.84882972220725,0.0364903540199085
"2019-01-03",196,0.83007944436002,-0.0310077346184935
"2019-01-04",197,1.41939538430563,-0.317042600314213
"2019-01-07",198,-0.77638031935932,0.319455290471228
"2019-01-08",199,0.595853531334567,0.0282818868625333
"2019-01-09",200,2.00815798491425,0.0454187784099777
"2019-01-10",201,0.0281279219054053,0.0111609082688896
"2019-01-11",202,0.78065195266799,0.0189718126519108
"2019-01-14",203,-0.442479932368112,-0.0295280864661964
"2019-01-15",204,0.109974724886167,-0.0909415385173476
"2019-01-16",205,0.733289411059073,0.0856721701490591
"2019-01-17",206,-0.995799306171512,0.00483656586153021
"2019-01-18",207,0.777469042229765,0.0873857965339426
"2019-01-21",208,0.560515010428504,0.205013773536185
"2019-01-22",209,-0.205981416999947,0.207630071973482
"2019-01-23",210,-0.339850871187294,-0.245051812633956
"2019-01-24",211,-0.408325263487633,0.0167247287888941
"2019-01-25",212,0.686244058319557,0.00581569085716625
"2019-01-28",213,-0.497584908566303,0.170827069648179
"2019-01-29",214,1.20844423125876,-0.140171082189869
